scorer,,,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit
bodyparts,,,Snout,Snout,Spiracle,Spiracle,Pectoral Fin,Pectoral Fin,Tail,Tail
coords,,,x,y,x,y,x,y,x,y
labeled-data,IMG_9480,img000.png,373.27328501566143,410.80105166486106,363.7277274885255,455.80153714993037,297.59065033622664,521.2567887645766,191.22586646242644,543.0752059694587
labeled-data,IMG_9480,img051.png,334.75178467620276,202.68649281992256,333.6456216200962,244.16760742391543,281.10287645503865,318.83361371110254,149.46947277836796,352.5715869223501
labeled-data,IMG_9480,img088.png,383.0696264260421,444.4162024170432,367.8156182551346,485.6917539383223,194.69421470544472,526.2700118085639,194.69421470544472,596.8752116849172
labeled-data,IMG_9480,img116.png,441.8124142726811,506.93763565194337,437.60972380385056,553.1672308090795,365.3234477399651,618.729202122836,250.16972889400796,654.8723401547787
labeled-data,IMG_9480,img129.png,428.36380477242335,514.5024784958384,416.5962714596978,558.210459371676,347.6721477708768,626.294044966731,245.1265003314113,659.9155687173754
labeled-data,IMG_9480,img169.png,412.39358099086724,496.85117852675006,409.87196670956894,541.3996974963538,352.7153763334734,612.8454354664732,239.24273367504856,634.6994259043921
labeled-data,IMG_9480,img222.png,422.4800381160606,487.60525949532285,405.6692762407384,537.1970070275233,349.353223958409,598.5562878724494,235.040043206218,632.1778116230937
labeled-data,IMG_9480,img288.png,421.63950002229456,490.9674118703874,401.46658577190783,536.3564689337574,346.8316096771107,602.7589783412801,237.56165748751636,642.2642687482871
labeled-data,IMG_9480,img335.png,414.91519527216565,488.4457975890891,403.98820005320624,533.8348546524591,339.2667668332157,606.9616688101106,235.88058129998413,637.2210401856905
labeled-data,IMG_9480,img523.png,407.35035242827064,488.4457975890891,398.10443339684343,535.5159308399913,332.54246208308683,606.9616688101106,229.15627654985525,627.1345830604971
labeled-data,IMG_9480,img545.png,414.91519527216565,483.4025690264925,404.82873814697234,531.3132403711608,332.54246208308683,598.5562878724496,238.40219558128246,622.0913544979005
labeled-data,IMG_9480,img562.png,409.87196670956894,474.99718808883136,,,339.2667668332157,587.6292926534901,229.99681464362135,621.2508164041344
labeled-data,IMG_9480,img577.png,408.19089052203674,474.99718808883136,,,334.22353827061903,588.4698307472562,235.04004320621803,611.1643592789411
labeled-data,IMG_9480,img683.png,412.39358099086735,464.0701928698719,400.62604767814173,514.5024784958385,342.6289192082801,582.5860640908934,232.51842892491965,605.2805926225784
labeled-data,IMG_9480,img700.png,410.71250480333504,465.7512690574041,,,340.1073049269818,576.7022974345307,231.67789083115355,606.9616688101106
labeled-data,IMG_9480,img740.png,410.71250480333504,472.475573807533,,,340.9478430207479,579.2239117158289,222.43197179972634,611.1643592789411
labeled-data,IMG_9480,img818.png,422.31517488167975,484.6350066286739,,,,,222.66853700023682,615.2444668169466
labeled-data,IMG_9480,img872.png,399.64512028033045,469.83085008772696,,,314.67712833212363,586.920887772451,223.49196624136505,611.7895683426578
