scorer,,,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit
bodyparts,,,Snout,Snout,Spiracle,Spiracle,Pectoral Fin,Pectoral Fin,Tail,Tail
coords,,,x,y,x,y,x,y,x,y
labeled-data,IMG_9467,img000.png,,,261.3790270607068,533.002849201171,139.32611642211998,506.67771161245616,211.12194620952403,396.5907726051033
labeled-data,IMG_9467,img033.png,,,321.20888521687687,564.1143754423794,203.9423632307836,525.8232662224306,275.73819301818764,420.5227158675714
labeled-data,IMG_9467,img054.png,421.7230469192425,667.0217314709918,359.49999443682566,602.4054846623281,249.41305542947282,547.3620151586517,316.4224965643832,456.4206307612734
labeled-data,IMG_9467,img089.png,443.2617958554637,698.1332577122001,373.8591603943064,623.9442335985493,266.16541571320045,583.2599300523538,330.78166252186406,473.1729910450009
labeled-data,IMG_9467,img142.png,438.47540720297,698.1332577122001,376.2523547205533,628.730622251043,266.16541571320045,578.4735413998602,325.9952738693704,477.95937969749457
labeled-data,IMG_9467,img181.png,416.93665826674885,702.9196463646938,357.1068001105789,633.5170109035365,230.26750081949842,628.730622251043,316.4224965643832,487.53215700248177
labeled-data,IMG_9467,img219.png,407.36388096176165,700.5264520384469,342.74763415309803,626.3374279247961,230.26750081949842,595.2259016835877,297.2769419544088,485.1389626762349
labeled-data,IMG_9467,img228.png,397.79110365677445,695.7400633859534,335.56805117435766,628.7306222510429,223.08791784075805,592.832707357341,294.883747628162,494.71173998122214
labeled-data,IMG_9467,img302.png,412.15026961425525,712.4924236696809,342.747634153098,640.6965938822768,194.36958592579646,638.3033995560302,294.883747628162,501.89132295996257
labeled-data,IMG_9467,img311.png,400.18429798302117,712.4924236696809,337.96124550060443,640.6965938822768,239.84027812448568,604.7986789885749,297.27694195440887,499.4981286337157
labeled-data,IMG_9467,img318.png,407.3638809617616,705.3128406909404,337.96124550060443,640.6965938822768,247.01986110322605,590.4395130310941,304.45652493314924,513.8572945911965
labeled-data,IMG_9467,img378.png,462.40735046543796,753.1767272158766,385.82513202554037,671.8081201234854,261.3790270607068,638.3033995560302,287.7041646494216,533.0028492011709
labeled-data,IMG_9467,img432.png,450.441378834204,743.6039499108892,381.0387433730468,664.628537144745,227.87430649325165,667.0217314709917,280.5245816706812,530.6096548749242
labeled-data,IMG_9467,img496.png,450.441378834204,738.8175612583957,376.25235472055317,669.4149257972385,247.019861103226,638.3033995560302,275.7381930181876,533.002849201171
labeled-data,IMG_9467,img533.png,452.8345731604508,748.390338563383,378.6455490468,669.4149257972385,239.84027812448556,657.4489541660046,270.95180436569393,533.002849201171
labeled-data,IMG_9467,img571.png,445.6549901817104,743.6039499108894,376.2523547205532,669.4149257972385,235.05388947199202,676.594508775979,268.55861003944716,537.7892378536646
labeled-data,IMG_9467,img582.png,448.04818450795716,748.390338563383,373.85916039430634,674.2013144497322,251.80624975571953,643.0897882085238,290.0973589756683,561.7211811161326
labeled-data,IMG_9467,img651.png,440.86860152921673,750.7835328896298,373.85916039430634,676.594508775979,237.4470837982388,659.8421484922513,258.98583273445996,533.002849201171
labeled-data,IMG_9467,img858.png,440.86860152921685,750.7835328896298,369.0727717418128,683.7740917547194,239.84027812448556,647.8761768610174,258.98583273445996,542.5756265061582
labeled-data,IMG_9467,img894.png,443.2617958554635,743.6039499108894,376.2523547205531,667.0217314709918,256.5926384082131,638.3033995560302,266.1654157132003,528.2164605486774
labeled-data,IMG_9468,img032.png,472.6812835012267,749.0112471436752,386.1058598433173,670.8412044234269,257.5035314971025,636.3791425790164,277.6764457474891,516.1821951704626
labeled-data,IMG_9468,img053.png,509.6649596269355,702.7816519865391,432.3354550004534,622.0899949849926,300.37097427917405,576.7009379216227,324.74657899839127,480.03905713852
labeled-data,IMG_9468,img068.png,469.31913112616223,638.9007568603148,384.4247836557851,559.0496379525343,239.85223152801416,531.3118808582527,279.35752193502134,424.5635429499567
labeled-data,IMG_9468,img156.png,479.40558825135554,743.1274804873125,398.713931249809,659.9142092044676,280.19806002878744,619.5683807036943,293.6466695290452,511.97950470163215
labeled-data,IMG_9468,img177.png,471.8407454074606,730.5194090808209,398.713931249809,651.5088282668064,267.5899886222958,627.9737616413553,293.6466695290452,515.3416570766965
labeled-data,IMG_9468,img224.png,475.202897782525,722.9545662369258,400.3950074373412,647.3061377979758,270.95214099736023,617.0467664223959,303.7331266542385,522.9064999205915
labeled-data,IMG_9468,img312.png,469.31913112616223,740.6058662060142,385.2653217495512,659.9142092044676,263.3872981534652,626.2926854538232,270.11160290359413,511.13896660786605
labeled-data,IMG_9468,img385.png,460.9137501885011,743.9680185810787,381.06263128072067,663.276361579532,250.77922674697356,643.9439854229115,281.03859812255354,511.13896660786605
labeled-data,IMG_9468,img400.png,461.7542882822672,746.489632862377,381.90316937448677,665.7979758608303,251.61976484073966,631.3359140164198,301.2115123729402,505.2551999515033
labeled-data,IMG_9468,img469.png,445.78406450071117,748.1707090499092,402.91662171863953,666.6385139545964,235.6495410591836,623.7710711725249,257.5035314971025,510.29842851409995
labeled-data,IMG_9468,img582.png,423.9300740627923,746.489632862377,349.9627218113746,672.5222806109592,194.46317446464417,612.8440759535654,247.4170743719091,489.2849761699472
labeled-data,IMG_9468,img603.png,425.6111502503245,748.1707090499092,344.0789551550118,670.0006663296609,200.34694112100698,603.5981569221382,254.98191721580412,536.3551094208494
labeled-data,IMG_9468,img727.png,426.4516883440906,801.9651470509402,381.90316937448677,704.4627281740713,266.7494505285297,495.16874282630994,,
labeled-data,IMG_9468,img739.png,400.3950074373412,831.3839803327542,391.149088405914,719.5924138618614,344.91949324877794,644.7845235166776,435.69760737551786,569.1360950777276
labeled-data,IMG_9468,img769.png,302.8925885604724,723.795104330692,370.13563606176126,628.8142997351215,365.09240749916455,502.73358567020495,502.94065487680666,427.92569532502114
labeled-data,IMG_9468,img779.png,292.8061314352791,701.100575799007,357.52756465526954,604.4386950159043,391.9896264996801,455.66345241930276,533.2000262523866,397.66632394944116
labeled-data,IMG_9468,img814.png,217.15770299632916,665.7979758608303,302.0520504667063,583.4252426717516,427.29222643785675,480.8795952322861,600.4430737536754,449.77968576294
labeled-data,IMG_9468,img832.png,180.1740268706203,679.2465853610881,278.5169838412552,601.0765426408399,415.5246931251312,485.92282379488273,588.6755404409498,508.6173523265677
